rating,character,year,species
6.9,12,1999,COMEDY
6.9,12,1999,ROMANCE
6.2,14,1992,ADVENTURE
6.2,14,1992,BIOGRAPHY
6.2,14,1992,DRAMA
6.2,14,1992,HISTORY
6.1,23,2001,ACTION
6.1,23,2001,CRIME
6.1,23,2001,DRAMA
6.1,23,2001,THRILLER
8.4,13,1968,ADVENTURE
8.4,13,1968,MYSTERY
8.4,13,1968,SCI-FI
6.9,16,1982,ACTION
6.9,16,1982,COMEDY
6.9,16,1982,CRIME
6.9,16,1982,DRAMA
6.9,16,1982,THRILLER
7.5,22,1997,ACTION
7.5,22,1997,ADVENTURE
7.5,22,1997,ROMANCE
7.5,22,1997,SCI-FI
7.5,22,1997,THRILLER
6.3,15,1999,CRIME
6.3,15,1999,MYSTERY
6.3,15,1999,THRILLER
5.2,8,1988,FANTASY
5.2,8,1988,HORROR
5.2,8,1988,THRILLER
4.7,8,1989,FANTASY
4.7,8,1989,HORROR
4.7,8,1989,THRILLER
4.9,8,1959,SCI-FI
4.9,8,1959,THRILLER
6.9,16,1997,DRAMA
6.9,16,1997,MYSTERY
6.9,16,1997,THRILLER
6.3,23,1997,ACTION
6.3,23,1997,DRAMA
6.3,23,1997,THRILLER
5.8,17,1982,COMEDY
5.8,17,1982,ROMANCE
5.8,17,1982,SCI-FI
7.8,20,1980,COMEDY
7.8,20,1980,ROMANCE
6.1,13,1988,CRIME
6.1,13,1988,DRAMA
6.1,13,1988,SCI-FI
6.1,13,1988,THRILLER
8.5,13,1986,ACTION
8.5,13,1986,SCI-FI
8.5,13,1986,THRILLER
8.4,28,1984,BIOGRAPHY
8.4,28,1984,DRAMA
8.4,28,1984,MUSIC
7.5,15,1981,HORROR
7.5,15,1981,ROMANCE
7.4,22,1932,DRAMA
5.7,21,2001,ACTION
5.7,21,2001,WESTERN
7.4,17,2000,DRAMA
7.4,17,2000,THRILLER
6.0,16,2001,DRAMA
6.0,16,2001,THRILLER
7.1,18,1997,ACTION
7.1,18,1997,ADVENTURE
7.1,18,1997,COMEDY
7.1,18,1997,CRIME
3.4,12,1998,ACTION
3.4,12,1998,ADVENTURE
3.4,12,1998,THRILLER
5.9,21,1984,COMEDY
5.9,21,1984,ROMANCE
6.6,14,1991,ACTION
6.6,14,1991,CRIME
6.6,14,1991,DRAMA
6.6,14,1991,MYSTERY
6.6,14,1991,THRILLER
6.9,10,1992,CRIME
6.9,10,1992,DRAMA
6.3,19,2000,COMEDY
6.3,19,2000,DRAMA
6.3,19,2000,MUSIC
8.1,22,1975,DRAMA
8.1,22,1975,ROMANCE
8.1,22,1975,WAR
6.3,12,2003,CRIME
6.3,12,2003,DRAMA
6.3,12,2003,MYSTERY
6.3,12,2003,THRILLER
8.1,11,2003,ADVENTURE
8.1,11,2003,DRAMA
8.1,11,2003,FANTASY
6.0,6,2001,COMEDY
6.0,6,2001,CRIME
6.0,6,2001,ROMANCE
6.0,6,2001,THRILLER
7.1,15,2006,DRAMA
6.4,9,1989,ACTION
6.4,9,1989,CRIME
6.4,9,1989,DRAMA
6.4,9,1989,THRILLER
8.3,18,1982,DRAMA
8.3,18,1982,SCI-FI
8.3,18,1982,THRILLER
6.4,21,1999,COMEDY
6.4,21,1999,DRAMA
6.4,21,1999,ROMANCE
7.8,14,1986,CRIME
7.8,14,1986,MYSTERY
7.8,14,1986,THRILLER
7.8,17,1999,ACTION
7.8,17,1999,CRIME
7.8,17,1999,DRAMA
7.8,17,1999,THRILLER
7.2,13,1996,COMEDY
7.2,13,1996,CRIME
7.6,16,2004,ACTION
7.6,16,2004,ADVENTURE
7.6,16,2004,MYSTERY
7.6,16,2004,THRILLER
8.4,15,1995,ACTION
8.4,15,1995,BIOGRAPHY
8.4,15,1995,DRAMA
8.4,15,1995,HISTORY
8.4,15,1995,WAR
7.8,15,2004,DRAMA
7.8,15,2004,MYSTERY
7.8,15,2004,SCI-FI
7.8,15,2004,THRILLER
8.8,15,1942,DRAMA
8.8,15,1942,ROMANCE
8.8,15,1942,WAR
7.5,16,2000,ADVENTURE
7.5,16,2000,DRAMA
7.5,19,1999,DRAMA
7.5,19,1999,ROMANCE
6.8,17,2003,CRIME
6.8,17,2003,THRILLER
7.2,12,1998,CRIME
7.2,12,1998,DRAMA
6.5,7,1974,COMEDY
6.5,7,1974,SCI-FI
6.5,7,1974,THRILLER
5.3,17,1990,ACTION
5.3,17,1990,CRIME
5.3,17,1990,DRAMA
5.3,17,1990,HORROR
5.3,17,1990,SCI-FI
5.3,17,1990,THRILLER
6.5,16,1999,COMEDY
6.5,16,1999,MUSIC
8.3,19,2001,DRAMA
8.3,19,2001,MYSTERY
8.3,19,2001,SCI-FI
6.3,20,1999,COMEDY
6.3,20,1999,ADULT
8.1,8,1933,COMEDY
8.1,8,1933,MUSICAL
8.4,15,1980,BIOGRAPHY
8.4,15,1980,DRAMA
8.4,15,1980,HISTORY
5.9,19,1989,COMEDY
5.9,19,1989,ADVENTURE
5.9,19,1989,FANTASY
8.5,14,2004,DRAMA
8.5,14,2004,ROMANCE
8.5,14,2004,SCI-FI
4.0,7,1993,COMEDY
4.0,7,1993,DRAMA
4.0,7,1993,ROMANCE
4.0,7,1993,WESTERN
6.4,10,1997,HORROR
6.4,10,1997,MYSTERY
6.4,10,1997,MYSTERY
6.4,10,1997,SCI-FI
6.4,10,1997,SCI-FI
5.7,11,2005,ACTION
5.7,11,2005,ADVENTURE
5.7,11,2005,FANTASY
5.7,11,2005,SCI-FI
5.7,11,2005,FANTASY
7.2,18,1982,COMEDY
7.2,18,1982,DRAMA
7.2,18,1982,ROMANCE
7.6,8,1998,DRAMA
7.6,8,1998,FANTASY
6.4,16,2005,ACTION
6.4,16,2005,COMEDY
6.4,16,2005,HORROR
6.4,16,2005,THRILLER
7.2,29,1982,BIOGRAPHY
7.2,29,1982,DRAMA
8.0,12,1931,DRAMA
8.0,12,1931,HORROR
8.0,12,1931,SCI-FI
5.6,12,2009,HORROR
7.1,12,1996,ACTION
7.1,12,1996,CRIME
7.1,12,1996,HORROR
7.1,12,1996,THRILLER
5.6,17,1997,ACTION
5.6,17,1997,DRAMA
4.9,12,1998,ACTION
4.9,12,1998,HORROR
4.9,12,1998,SCI-FI
4.9,12,1998,THRILLER
7.2,14,1999,ACTION
7.2,14,1999,ADVENTURE
7.2,14,1999,COMEDY
7.2,14,1999,SCI-FI
7.5,17,2000,DRAMA
6.9,18,1995,COMEDY
6.9,18,1995,CRIME
6.9,18,1995,THRILLER
5.3,7,2002,HORROR
5.3,7,2002,MYSTERY
5.3,7,2002,THRILLER
7.7,19,2001,COMEDY
7.7,19,2001,DRAMA
6.6,9,1996,ADVENTURE
6.6,9,1996,DRAMA
6.6,9,1996,THRILLER
6.1,16,1989,ACTION
6.1,16,1989,ADVENTURE
6.1,16,1989,COMEDY
6.1,16,1989,FANTASY
6.1,16,1989,SCI-FI
6.1,16,1989,ACTION
6.1,16,1989,ADVENTURE
6.1,16,1989,COMEDY
6.1,16,1989,SCI-FI
6.9,19,1986,ANIMATION
6.9,19,1986,COMEDY
6.9,19,1986,FANTASY
6.9,19,1986,SCI-FI
6.9,19,1986,HORROR
8.4,14,2000,ACTION
8.4,14,2000,ADVENTURE
8.4,14,2000,DRAMA
8.2,14,1967,COMEDY
8.2,14,1967,DRAMA
8.2,14,1967,ROMANCE
7.7,19,1932,DRAMA
7.7,19,1932,ROMANCE
7.0,15,1990,CRIME
7.0,15,1990,DRAMA
7.0,15,1990,THRILLER
5.4,12,1998,DRAMA
5.4,12,1998,HORROR
5.4,12,1998,THRILLER
4.5,11,1995,HORROR
4.5,11,1995,THRILLER
5.8,9,1971,COMEDY
5.8,9,1971,DRAMA
6.7,19,1979,DRAMA
8.1,12,1971,COMEDY
8.1,12,1971,ROMANCE
6.2,9,1988,DRAMA
6.2,9,1988,HORROR
6.2,9,1988,THRILLER
6.8,12,2004,ACTION
6.8,12,2004,ADVENTURE
6.8,12,2004,FANTASY
7.0,11,1987,HORROR
7.6,14,2000,COMEDY
7.6,14,2000,DRAMA
7.6,14,2000,MUSIC
7.6,14,2000,ROMANCE
7.2,29,1986,ACTION
7.2,29,1986,FANTASY
8.1,22,1940,COMEDY
8.1,22,1940,DRAMA
8.1,22,1940,ROMANCE
7.4,11,1987,DRAMA
7.4,11,1987,WAR
5.6,14,2003,HORROR
6.3,10,2001,COMEDY
6.3,10,2001,DRAMA
8.2,10,1961,DRAMA
8.2,10,1961,ROMANCE
8.2,10,1961,SPORT
7.1,5,2007,DRAMA
7.1,5,2007,SCI-FI
7.1,5,2007,THRILLER
6.4,6,1953,HORROR
6.4,6,1953,SCI-FI
6.6,19,1996,ACTION
6.6,19,1996,ADVENTURE
6.6,19,1996,SCI-FI
6.6,19,1996,THRILLER
8.3,9,1989,ACTION
8.3,9,1989,ADVENTURE
8.3,9,1989,THRILLER
8.3,9,1989,ACTION
8.3,9,1989,ADVENTURE
8.3,9,1989,FANTASY
7.5,8,1984,ACTION
7.5,8,1984,ADVENTURE
6.5,16,1987,ACTION
6.5,16,1987,ADVENTURE
6.5,16,1987,COMEDY
6.5,16,1987,CRIME
6.5,16,1987,SCI-FI
8.0,27,1999,BIOGRAPHY
8.0,27,1999,DRAMA
8.0,27,1999,THRILLER
6.4,18,2003,COMEDY
6.4,18,2003,ROMANCE
6.4,18,2003,CRIME
8.3,25,1934,COMEDY
8.3,25,1934,ROMANCE
8.0,34,1991,BIOGRAPHY
8.0,34,1991,DRAMA
8.0,34,1991,HISTORY
8.0,34,1991,MYSTERY
8.0,34,1991,THRILLER
7.6,13,1997,CRIME
7.6,13,1997,DRAMA
7.6,13,1997,THRILLER
7.5,26,1990,DRAMA
7.5,26,1990,MYSTERY
7.5,26,1990,THRILLER
4.4,14,2001,HORROR
4.4,14,2001,SCI-FI
8.3,12,1975,THRILLER
7.9,16,2007,COMEDY
7.9,16,2007,DRAMA
6.7,8,1993,CRIME
6.7,8,1993,DRAMA
6.7,8,1993,THRILLER
6.8,20,1995,CRIME
6.8,20,1995,DRAMA
5.8,14,1992,MYSTERY
5.8,14,1992,THRILLER
5.9,14,1983,FANTASY
5.9,14,1983,ACTION
5.9,14,1983,ADVENTURE
5.9,14,1983,SCI-FI
8.6,10,1994,CRIME
8.6,10,1994,DRAMA
8.6,10,1994,THRILLER
7.6,6,1995,DRAMA
7.6,6,1995,ROMANCE
6.2,19,2001,COMEDY
6.2,13,1985,FANTASY
6.2,13,1985,ADVENTURE
6.2,13,1985,ROMANCE
7.5,14,2001,DRAMA
7.5,14,2001,ROMANCE
7.3,27,2003,DRAMA
7.3,27,2003,CRIME
7.3,27,2003,THRILLER
5.0,19,2000,FANTASY
5.0,19,2000,COMEDY
5.0,19,2000,ROMANCE
5.0,19,2000,ANIMATION
5.0,19,2000,COMEDY
5.0,19,2000,FANTASY
5.0,19,2000,HORROR
6.7,13,1976,ACTION
6.7,13,1976,SCI-FI
7.6,23,1997,DRAMA
7.6,23,1997,HORROR
7.6,23,1997,MYSTERY
7.6,23,1997,THRILLER
7.8,12,1937,ADVENTURE
7.8,12,1937,DRAMA
7.8,12,1937,FANTASY
7.8,12,1937,MYSTERY
7.0,14,1997,ACTION
7.0,14,1997,ADVENTURE
7.0,14,1997,COMEDY
7.0,14,1997,SCI-FI
7.7,20,2002,ACTION
7.7,20,2002,CRIME
7.7,20,2002,MYSTERY
7.7,20,2002,SCI-FI
7.7,20,2002,THRILLER
7.7,20,2002,ACTION
7.7,20,2002,ANIMATION
7.7,20,2002,DRAMA
7.7,20,2002,MYSTERY
7.7,20,2002,SCI-FI
7.7,20,2002,THRILLER
6.4,22,2001,COMEDY
6.4,22,2001,CRIME
6.4,22,2001,DRAMA
6.4,22,2001,THRILLER
7.7,26,1992,BIOGRAPHY
7.7,26,1992,DRAMA
7.7,26,1992,HISTORY
7.7,17,2004,ACTION
7.7,17,2004,CRIME
7.7,17,2004,DRAMA
7.7,17,2004,THRILLER
7.7,17,1955,DRAMA
7.7,17,1955,ROMANCE
7.8,19,1970,COMEDY
7.8,19,1970,WAR
7.8,19,1970,DRAMA
7.7,18,1941,COMEDY
7.7,18,1941,DRAMA
7.7,18,1941,ROMANCE
5.3,14,1997,ACTION
5.3,14,1997,COMEDY
5.3,14,1997,CRIME
5.3,14,1997,DRAMA
5.3,14,1997,THRILLER
8.4,11,1927,ADVENTURE
8.4,11,1927,DRAMA
8.4,11,1927,SCI-FI
8.2,16,1994,ACTION
8.2,16,1994,FAMILY
5.5,18,1991,CRIME
5.5,18,1991,DRAMA
4.5,13,2001,ANIMATION
4.5,13,2001,COMEDY
4.5,13,2001,FANTASY
4.5,13,2001,ROMANCE
6.7,5,1998,SHORT
8.4,22,1939,DRAMA
8.0,31,1936,COMEDY
8.0,31,1936,ROMANCE
6.8,17,1999,COMEDY
6.8,17,1999,DRAMA
6.9,10,1999,ACTION
6.9,10,1999,ADVENTURE
6.9,10,1999,FANTASY
5.9,13,1999,ACTION
5.9,13,1999,COMEDY
5.9,13,1999,FANTASY
5.5,28,1995,FAMILY
5.5,28,1995,ADVENTURE
5.4,16,2000,COMEDY
6.2,11,1995,CRIME
6.2,11,1995,DRAMA
6.2,11,1995,THRILLER
8.2,15,1955,DRAMA
8.2,15,1955,FILM-NOIR
8.2,15,1955,THRILLER
7.4,9,1984,HORROR
7.9,19,1939,COMEDY
7.9,19,1939,ROMANCE
7.1,28,1995,BIOGRAPHY
7.1,28,1995,DRAMA
8.3,18,2007,CRIME
8.3,18,2007,DRAMA
8.3,18,2007,MYSTERY
8.3,18,2007,THRILLER
8.3,18,2007,WESTERN
6.4,22,2000,COMEDY
6.4,22,2000,CRIME
6.4,22,2000,ROMANCE
6.4,22,2000,THRILLER
7.8,15,2000,COMEDY
7.8,15,2000,ADVENTURE
7.8,15,2000,CRIME
7.8,15,2000,MUSIC
6.8,11,1982,DRAMA
6.8,11,1982,ROMANCE
6.9,8,2002,THRILLER
5.9,19,1995,DRAMA
6.9,17,2000,ACTION
6.9,17,2000,DRAMA
6.9,17,2000,WAR
6.3,5,1989,DRAMA
6.3,5,1989,FANTASY
6.3,5,1989,HORROR
6.3,5,1989,MYSTERY
6.3,5,1989,THRILLER
7.2,12,2003,ADVENTURE
7.2,12,2003,FANTASY
7.2,12,2003,HORROR
6.7,8,1999,DRAMA
6.9,11,1931,COMEDY
6.9,11,1931,ROMANCE
7.5,15,1998,COMEDY
7.5,15,1998,DRAMA
7.5,15,1998,FANTASY
7.4,18,2002,COMEDY
7.4,18,2002,DRAMA
7.4,18,2002,ROMANCE
7.3,17,2000,BIOGRAPHY
7.3,17,2000,DRAMA
7.3,17,2000,HISTORY
7.3,17,2000,ROMANCE
7.1,12,1999,BIOGRAPHY
7.1,12,1999,DRAMA
8.4,12,1980,BIOGRAPHY
8.4,12,1980,DRAMA
8.4,12,1980,SPORT
8.7,10,1954,CRIME
8.7,10,1954,MYSTERY
8.7,10,1954,ROMANCE
8.7,10,1954,THRILLER
7.9,15,1955,DRAMA
7.9,15,1955,ROMANCE
5.5,13,2000,ACTION
5.5,13,2000,CRIME
5.5,13,2000,DRAMA
5.5,13,2000,THRILLER
8.4,13,1992,CRIME
8.4,13,1992,MYSTERY
8.4,13,1992,THRILLER
6.9,13,1949,ACTION
6.9,13,1949,DRAMA
6.9,13,1949,ROMANCE
6.9,13,1949,WESTERN
4.7,15,2001,COMEDY
6.4,18,1994,COMEDY
6.4,18,1994,THRILLER
6.9,20,1943,DRAMA
6.9,20,1943,HORROR
6.9,20,1943,THRILLER
7.1,9,1989,DRAMA
6.5,12,1975,HORROR
6.5,12,1975,SCI-FI
5.4,23,1981,COMEDY
5.4,23,1981,MUSICAL
7.8,12,2004,COMEDY
7.8,12,2004,DRAMA
7.8,12,2004,ROMANCE
6.9,7,2002,DRAMA
6.9,7,2002,MYSTERY
6.9,7,2002,SCI-FI
6.9,7,2002,THRILLER
7.0,17,1985,ACTION
7.0,17,1985,WESTERN
8.3,18,2010,SHORT
8.3,18,2010,DRAMA
8.3,18,2010,HORROR
8.3,18,2010,THRILLER
8.2,7,1999,DRAMA
8.2,7,1999,MYSTERY
8.2,7,1999,THRILLER
4.2,12,2002,COMEDY
4.2,12,2002,HORROR
4.2,12,2002,THRILLER
6.6,11,2006,COMEDY
6.6,11,2006,HORROR
6.6,11,2006,SCI-FI
6.6,12,1977,ACTION
6.6,12,1977,COMEDY
6.6,12,1977,CRIME
6.6,12,1977,ROMANCE
6.6,19,2006,ACTION
6.6,19,2006,CRIME
6.6,19,2006,DRAMA
6.6,19,2006,THRILLER
6.2,5,2002,DRAMA
6.2,5,2002,MYSTERY
6.2,5,2002,ROMANCE
6.2,5,2002,SCI-FI
6.1,12,1987,ACTION
6.1,12,1987,CRIME
6.1,12,1987,DRAMA
6.1,12,1987,ROMANCE
6.1,12,1987,THRILLER
7.4,18,2002,ACTION
7.4,18,2002,ADVENTURE
7.4,18,2002,FANTASY
7.4,18,2002,SCI-FI
7.4,18,2002,ACTION
7.4,18,2002,ADVENTURE
7.4,18,2002,SCI-FI
7.4,18,2002,THRILLER
8.2,16,1953,DRAMA
8.2,16,1953,WAR
6.5,15,1994,ACTION
6.5,15,1994,MYSTERY
6.5,15,1994,SCI-FI
6.5,15,1994,THRILLER
6.5,20,1984,ACTION
6.5,20,1984,ADVENTURE
6.5,20,1984,SCI-FI
6.5,20,1984,THRILLER
7.8,17,1982,ACTION
7.8,17,1982,ADVENTURE
7.8,17,1982,SCI-FI
7.8,17,1982,THRILLER
7.3,22,1986,ADVENTURE
7.3,22,1986,COMEDY
7.3,22,1986,SCI-FI
6.3,19,1998,ACTION
6.3,19,1998,ADVENTURE
6.3,19,1998,SCI-FI
6.3,19,1998,THRILLER
7.6,16,1996,ACTION
7.6,16,1996,ADVENTURE
7.6,16,1996,SCI-FI
7.6,16,1996,THRILLER
7.2,17,1991,ACTION
7.2,17,1991,MYSTERY
7.2,17,1991,SCI-FI
7.2,17,1991,THRILLER
6.4,15,2002,ACTION
6.4,15,2002,SCI-FI
6.4,15,2002,THRILLER
6.9,15,1984,ADVENTURE
6.9,15,1984,DRAMA
6.9,15,1984,ROMANCE
6.9,15,1984,SCI-FI
7.1,11,1995,ACTION
7.1,11,1995,CRIME
7.1,11,1995,DRAMA
7.1,11,1995,FANTASY
7.1,11,1995,MUSIC
7.1,11,1995,MYSTERY
7.1,11,1995,SCI-FI
7.1,11,1995,THRILLER
5.8,15,2004,CRIME
5.8,15,2004,HORROR
5.8,15,2004,SCI-FI
5.8,15,2004,THRILLER
7.6,15,1996,COMEDY
7.6,15,1996,DRAMA
9.2,23,1972,CRIME
9.2,23,1972,DRAMA
9.2,23,1972,THRILLER
7.2,11,1999,CRIME
7.2,11,1999,DRAMA
